id,name,description
01,名古屋市千種区,名古屋市東部に位置する区。東山動植物園や星が丘テラスなどがあり、文教地区としても知られています。
02,名古屋市東区,名古屋市の中心部に近い区。徳川園やナゴヤドーム（バンテリンドーム ナゴヤ）があり、歴史と現代が融合しています。
03,名古屋市北区,名古屋市北部に位置し、名城公園や名古屋城の北側に接しています。住宅地が多く、庄内川が流れています。
04,名古屋市西区,名古屋市西部に位置し、ノリタケの森やトヨタ産業技術記念館、円頓寺商店街など歴史的な名所があります。
05,名古屋市中村区,名古屋駅がある名古屋の玄関口。超高層ビル群が立ち並ぶ一方、大門などの下町情緒も残っています。
06,名古屋市中区,愛知県および名古屋市の行政・商業の中心地。栄や大須商店街があり、非常に賑やかな街です。
07,名古屋市昭和区,閑静な住宅街が広がる区。鶴舞公園や興正寺があり、大学も多く集まる文教地区です。
08,名古屋市瑞穂区,瑞穂運動場（パロマ瑞穂スタジアム）があり、スポーツが盛んな区。山崎川の桜は有名です。
09,名古屋市熱田区,熱田神宮がある歴史深い区。名古屋港にも一部接しており、古くからの門前町として栄えました。
10,名古屋市中川区,名古屋市西部に位置し、中川運河が流れる区。住宅地と工業地帯が混在し、交通の便も良いです。
11,名古屋市港区,日本最大級の名古屋港水族館やレゴランド・ジャパンがある観光と物流の拠点です。
12,名古屋市南区,笠寺観音（日本六観音の一つ）があり、古くからの交通の要所として発展した住宅中心の区です。
13,名古屋市守山区,名古屋市北東部に位置し、豊かな自然が残る区。東谷山フルーツパークなどがあり、小幡緑地も有名です。
14,名古屋市緑区,名古屋市南東部に位置し、人口が最も多い区。大高緑地や有松の町並み（重要伝統的建造物群保存地区）があります。
15,名古屋市名東区,名古屋市東端に位置し、転勤族も多く住む住宅街。藤が丘周辺は商業施設も充実しています。
16,名古屋市天白区,名古屋市南東部に位置し、天白川が流れる自然豊かな区。農業センターや八事山周辺も含まれます。
17,豊橋市,東三河の中心都市。路面電車が走り、のんほいパーク（豊橋総合動植物公園）や手筒花火が有名です。
18,岡崎市,徳川家康公生誕の地。岡崎城があり、八丁味噌の産地としても全国的に知られています。
19,一宮市,繊維の街として栄えた中核市。真清田神社があり、モーニング文化の発祥の地としても有名です。
20,瀬戸市,「瀬戸物」の語源となった陶磁器の街。瀬戸蔵や招き猫ミュージアムがあり、歴史ある窯元が点在します。
21,半田市,ミツカンの創業地。酢の醸造で栄えた運河沿いの蔵造りの町並みや、赤レンガ建物、山車祭りが有名です。
22,春日井市,サボテンの生産量が日本一。道風記念館があり、名古屋市のベッドタウンとして発展しています。
23,豊川市,豊川稲荷（日本三大稲荷の一つ）の門前町として栄えた街。B-1グランプリ発祥の地もあります。
24,津島市,津島神社（全国の津島神社の総本社）がある歴史都市。尾張津島天王祭はユネスコ無形文化遺産です。
25,碧南市,三河みりんや白醤油の発祥の地。碧南海浜水族館やあおいパークがあり、醸造文化が息づいています。
26,刈谷市,トヨタグループの発祥・拠点企業が集まる産業都市。刈谷ハイウェイオアシスは人気のスポットです。
27,豊田市,世界的な自動車メーカー「トヨタ自動車」の本社がある企業城下町。香嵐渓の紅葉は非常に有名です。
28,安城市,「日本のデンマーク」と呼ばれた農業先進地。デンパーク（花と緑のテーマパーク）が人気です。
29,西尾市,抹茶の生産量が全国有数。三河の小京都と呼ばれ、歴史ある町並みや佐久島（アートの島）も有名です。
30,蒲郡市,三河湾に面した観光都市。竹島やラグーナテンボス、蒲郡みかんの産地として知られています。
31,犬山市,国宝犬山城がある城下町。明治村やリトルワールド、日本モンキーパークなどのテーマパークが豊富です。
32,常滑市,常滑焼（日本六古窯の一つ）の産地。中部国際空港（セントレア）があり、招き猫の巨大オブジェも有名です。
33,江南市,曼陀羅寺公園の藤棚が有名。尾張北部の住宅都市として発展しており、木曽川の自然にも恵まれています。
34,小牧市,小牧山城（織田信長ゆかりの地）がある歴史の街。メナード美術館や交通の要所としての拠点性があります。
35,稲沢市,植木・苗木の産地。国府宮（はだか祭）で知られる尾張大国霊神社があり、イチョウ並木も綺麗です。
36,新城市,鳳来寺山や長篠・設楽原の戦いの古戦場がある自然と歴史の街。百畳石などの景勝地も多いです。
37,東海市,鉄鋼の街。大仏さま（聚楽園大仏）がアイコンで、洋ランの生産も盛んです。
38,大府市,「健康都市」を掲げ、あいち健康の森公園がある住宅都市。自動車産業の拠点も多くあります。
39,知多市,佐布里池の梅林が有名。臨海部には工業地帯が広がり、一方で緑豊かな公園も多いです。
40,知立市,知立神社（知立まつり）がある宿場町。名物の「あんまき」は古くから親しまれています。
41,尾張旭市,「森林浴の森100選」に選ばれた愛知県森林公園がある、緑豊かな住宅都市です。
42,高浜市,「三州瓦」の産地。かわら美術館があり、人形小路や「とりめし」も名物です。
43,岩倉市,五条川の桜並木が非常に有名。県内で最も面積が小さい市の一つで、コンパクトな街づくりが特徴です。
44,豊明市,桶狭間の戦いの古戦場がある歴史の街。愛知豊明花き地方卸売市場は日本最大級の花き市場です。
45,日進市,名古屋市のベッドタウンとして急速に発展した街。岩崎城があり、愛知牧場などのレジャー施設も人気です。
46,田原市,渥美半島の先端に位置し、農業が極めて盛ん。伊良湖岬や恋路ヶ浜など、美しい海の景色が楽しめます。
47,愛西市,レンコンの産地として有名。木曽三川に面しており、自然豊かな田園地帯が広がっています。
48,清須市,清洲城がある歴史の街。織田信長の飛躍の地であり、キリンビール名古屋工場も有名です。
49,北名古屋市,名古屋市の北側に位置する住宅都市。昭和日常博物館があり、交通の便が非常に良いです。
50,弥富市,金魚の産地として全国的に有名。木曽川河口に位置し、野鳥の楽園（愛知県弥富野鳥園）もあります。
51,みよし市,カヌーが盛んな三好池があり、スポーツと文化の調和した街。トヨタ関連の工場も多いです。
52,あま市,七宝焼の産地. 甚目寺観音や萱津神社があり、歴史的な寺社仏閣が点在しています。
53,長久手市,小牧・長久手の戦いの古戦場。ジブリパーク（愛・地球博記念公園）があり、若年層が多い活気ある街。
54,東郷町,住宅街と自然が調和した町。ららぽーと愛知東郷があり、ショッピングやレジャーも充実しています。
55,豊山町,県営名古屋空港がある町。イチロー選手の出身地であり、航空宇宙産業の拠点でもあります。
56,大口町,木曽川の恵みを受けた田園風景と工業が共存。五条川の桜並木が町内を通っています。
57,扶桑町,守口大根の産地. 木曽川沿いの豊かな自然と住宅地がバランスよく配置されています。
58,大治町,名古屋市の西側に接する、県内で人口密度が非常に高い町。コンパクトなエリアに住宅が集まっています。
59,蟹江町,水郷の町として知られ、尾張温泉が有名。名古屋市のベッドタウンとしても人気があります。
60,飛島村,「日本一リッチな村」として知られる、名古屋港西部の物流・工業拠点。村全体の財政が非常に豊かです。
61,阿久比町,ホタルが舞う自然豊かな町。農業が盛んで、知多半島の中央部に位置しています。
62,東浦町,住宅開発と自然保護の調和が進む町。緒川城址など歴史的な見所もあり、ぶどうの産地でもあります。
63,南知多町,知多半島の先端と離島（日間賀島・篠島）からなる町。海の幸が豊富で、観光と漁業が盛んです。
64,美浜町,えびせんべいの里や南知多ビーチランドがある観光地。野間灯台は夕景の名所として人気です。
65,武豊町,醸造の町. 味噌や醤油の蔵が立ち並ぶ風景が残り、浦島太郎伝説も伝わっています。
